
 Contenido del banco de registros. BR
Num registro decimal
      contenido  hexadecimal
   0  00
   1  01
   2  02
   3  03
   4  04
   5  05
   6  06
   7  07
   8  08
   9  09
  10  24
  11  0B
  12  0C
  13  0D
  14  0E
  15  0F
  16  10
  17  11
  18  12
  19  13
  20  14
  21  15
  22  16
  23  17
  24  18
  25  19
  26  1A
  27  1B
  28  1C
  29  1D
  30  1E
  31  1F
